OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,DS,US
488,247,188,0,1,188,0
489,248,134,0,1,134,0
490,248,135,0,1,134,135
491,248,188,0,1,134,188
492,249,135,0,1,135,0
493,249,136,0,1,135,136
494,249,203,0,1,135,203
495,250,133,0,1,133,0
496,250,134,0,1,133,134
497,250,202,0,1,133,202
498,251,133,0,1,158,133
499,251,158,0,1,158,0
500,251,187,0,1,158,187
501,252,36,0,1,36,0
502,252,54,0,1,36,54
503,252,211,0,1,36,211
504,253,35,0,1,203,35
505,253,37,0,1,203,37
506,253,203,0,1,203,0
507,254,38,0,1,38,0
508,255,35,0,1,35,0
509,255,36,0,1,35,36
510,255,38,0,1,35,38
511,256,202,0,1,202,0
